,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count,date,hour,weekday,month
0,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,9.84,14.395,81,0.0,16,2011-01-01,00,Saturday,January
1,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,9.02,13.635,80,0.0,40,2011-01-01,01,Saturday,January
2,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,9.02,13.635,80,0.0,32,2011-01-01,02,Saturday,January
3,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,9.84,14.395,75,0.0,13,2011-01-01,03,Saturday,January
4,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,9.84,14.395,75,0.0,1,2011-01-01,04,Saturday,January
5,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",9.84,12.88,75,6.0032,1,2011-01-01,05,Saturday,January
6,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,9.02,13.635,80,0.0,2,2011-01-01,06,Saturday,January
7,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,8.2,12.88,86,0.0,3,2011-01-01,07,Saturday,January
8,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,9.84,14.395,75,0.0,8,2011-01-01,08,Saturday,January
9,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,13.12,17.425,76,0.0,14,2011-01-01,09,Saturday,January
10,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,15.58,19.695,76,16.9979,36,2011-01-01,10,Saturday,January
11,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,14.76,16.665,81,19.0012,56,2011-01-01,11,Saturday,January
12,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,17.22,21.21,77,19.0012,84,2011-01-01,12,Saturday,January
13,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",18.86,22.725,72,19.9995,94,2011-01-01,13,Saturday,January
14,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",18.86,22.725,72,19.0012,106,2011-01-01,14,Saturday,January
15,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",18.04,21.97,77,19.9995,110,2011-01-01,15,Saturday,January
16,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",17.22,21.21,82,19.9995,93,2011-01-01,16,Saturday,January
17,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",18.04,21.97,82,19.0012,67,2011-01-01,17,Saturday,January
18,Spring,0,0," Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",17.22,21.21,88,16.9979,35,2011-01-01,18,Saturday,January
19,Spring,0,0," Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",17.22,21.21,88,16.9979,37,2011-01-01,19,Saturday,January
20,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",16.4,20.455,87,16.9979,36,2011-01-01,20,Saturday,January
21,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",16.4,20.455,87,12.998,34,2011-01-01,21,Saturday,January
22,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",16.4,20.455,94,15.0013,28,2011-01-01,22,Saturday,January
23,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",18.86,22.725,88,19.9995,39,2011-01-01,23,Saturday,January
24,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",18.86,22.725,88,19.9995,17,2011-01-02,00,Sunday,January
25,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",18.04,21.97,94,16.9979,17,2011-01-02,01,Sunday,January
26,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",17.22,21.21,100,19.0012,9,2011-01-02,02,Sunday,January
27,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",18.86,22.725,94,12.998,6,2011-01-02,03,Sunday,January
28,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",18.86,22.725,94,12.998,3,2011-01-02,04,Sunday,January
29,Spring,0,0," Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",17.22,21.21,77,19.9995,2,2011-01-02,06,Sunday,January
30,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",16.4,20.455,76,12.998,1,2011-01-02,07,Sunday,January
31,Spring,0,0," Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",16.4,20.455,71,15.0013,8,2011-01-02,08,Sunday,January
32,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",15.58,19.695,76,15.0013,20,2011-01-02,09,Sunday,January
33,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",14.76,17.425,81,15.0013,53,2011-01-02,10,Sunday,January
34,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",14.76,16.665,71,16.9979,70,2011-01-02,11,Sunday,January
35,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",14.76,16.665,66,19.9995,93,2011-01-02,12,Sunday,January
36,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",14.76,17.425,66,8.9981,75,2011-01-02,13,Sunday,January
37,Spring,0,0," Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",14.76,17.425,76,12.998,59,2011-01-02,14,Sunday,January
38,Spring,0,0," Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",13.94,16.665,81,11.0014,74,2011-01-02,15,Sunday,January
39,Spring,0,0," Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",13.94,16.665,71,11.0014,76,2011-01-02,16,Sunday,January
40,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,13.94,16.665,57,12.998,65,2011-01-02,17,Sunday,January
41,Spring,0,0," Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist ",14.76,16.665,46,22.0028,53,2011-01-02,18,Sunday,January
42,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,13.12,14.395,42,30.0026,30,2011-01-02,19,Sunday,January
43,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,12.3,13.635,39,23.9994,22,2011-01-02,20,Sunday,January
44,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,10.66,11.365,44,22.0028,31,2011-01-02,21,Sunday,January
45,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,9.84,10.605,44,19.9995,9,2011-01-02,22,Sunday,January
46,Spring,0,0, Clear + Few clouds + Partly cloudy + Partly cloudy,9.02,11.365,47,11.0014,8,2011-01-02,23,Sunday,January
47,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,9.02,9.85,44,23.9994,5,2011-01-03,00,Monday,January
48,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,8.2,8.335,44,27.9993,2,2011-01-03,01,Monday,January
49,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,6.56,6.82,47,26.0027,1,2011-01-03,04,Monday,January
50,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,6.56,6.82,47,19.0012,3,2011-01-03,05,Monday,January
51,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,5.74,5.305,50,26.0027,30,2011-01-03,06,Monday,January
52,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,5.74,6.82,50,12.998,64,2011-01-03,07,Monday,January
53,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,5.74,6.06,50,19.0012,154,2011-01-03,08,Monday,January
54,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,6.56,6.82,43,26.0027,88,2011-01-03,09,Monday,January
55,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,7.38,8.335,43,16.9979,44,2011-01-03,10,Monday,January
56,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,8.2,9.09,40,22.0028,51,2011-01-03,11,Monday,January
57,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,9.02,10.605,35,19.9995,61,2011-01-03,12,Monday,January
58,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,9.84,10.605,35,19.0012,61,2011-01-03,13,Monday,January
59,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,10.66,12.12,30,19.0012,77,2011-01-03,14,Monday,January
60,Spring,0,1, Clear + Few clouds + Partly cloudy + Partly cloudy,10.66,12.12,30,16.9979,72,2011-01-03,15,Monday,January
