score,summary,review
1.0,Didn't Grow. Went Moldy.,"I'm not sure what I did wrong... but I watered it once and followed the directions and waited for it to grow and nothing happened. It simply got fuzzy, and didn't sprout.  After reading the reviews (I wish I had ahead of my purchase) I see it turned moldy for other people as well."
1.0,"Great food, but purchase from local store for A LOT less","As 2 others have stated you can get the 32 packs from Wal-Mart for about $12-13. You also do have the variety of choosing different flavors and different textures like the pate or shreds. My older and younger cats would rather eat the shredded or meat bits then the mashed pate thing, and I think they don't have such a strong smell as the pate does either!  If you do not mind paying double then go for it, but I am always searching for the lowest price and knowing that Amazon is usually cheaper thought I could find them on here, but that is obviously not true in this case! Better just to buy some when you're at the store. At the store it is about .42 per can and at what I have been seeing on here it is about .78 -.80. So if you're like me and don't go to Wal-mart all that often or even if you do, best just to stock up on a few cases and save quite a bit of money!"
1.0,"Product is fine, dodgy seller?","The Lavazza Gran Crema pods are fine if you're not too fussed about good coffee, or if you're using them for latte or other milk drinks. My main issue with these was how they came from the seller. The product description clearly states that the pods come in a ""20 pack box"" - this was important to me as I keep my pods on the bench in their display boxes. Instead, my 20 pods came loose in a zip lock bag and each one was clearly marked - not for individual sale. The seller obviously buys these in bulk and then on-sells them for a larger profit - very dodgy."
5.0,"A sweet, healthy treat","Low sugar, low fat, a measured amount, and sweet and chocolatey enough to satisfy my evening sweet tooth cravings."
1.0,NOT BERRY... or CHERRY  90% APPLE,AVOID unless you want apple...( product held 90% apple) with less then 14  bitty bits of cherry or berry. If you desire BERRY try the CRUNCHIES freeze dried truly all berry!( if ZERO stars were available this would be a zero...good idea if it really were CHERRY BERRY...so OK 1 star)
5.0,Great product,"Old Wessex Scottish style porridge oats has been my favorite oatmeal since I first tried it 9 years ago. It does not have the gummy consistency of other oatmeal and I prefer its flavor to others.  I've been eating oatmeal for 60 years now and I think I can speak as ""one who knows good oats."" These are good oats. Also, buying it as a club member makes my favorite oatmeal even more affordable.  I used to drive 80 miles to stock up.  Amazon sure has made my shopping a lot easier."
5.0,Wife loves this tea,"I used to drink chamomile tea back when I was child and just needed something to settle my stomach. The blended teas of today just don't match that wonderful tea of yesteryear. However, my wife loves the honey, vanilla, chamomile combo. Like other teas we've grown to enjoy, this one is getting increasingly harder to find. Since I was ready to reorder my Stash brand Double Bergamot Earl Grey tea, it made sense to buy this at the same time. Surprisingly, even though both were ordered at the same time, this came separately even though both are being sold & shipped by Amazon. I am still waiting for the Stash tea."
1.0,Not for true grits lovers,"The dry product is extremely fine, almost powdery. The cooked product is mushy and doesn't even taste like grits to me. I like the coarse stone ground grits which haven't been de-germed. Regular white grits from the grocery store is preferable to this product. I will donate the three unopened boxes to our local food bank."
5.0,Heather In Michigan,"Everyone ate this pizza as if nothing were different from regular pizza! (and I make a good scratch crust, if I do say so.) I threw some extra spices in the sauce to cover up any potential funny taste, but it wsn't needed! The edges of the crust were delicious, as well! The crust was even crispy on the botton thanks to the pre-cooking! Thank goodness we dont have to adjust our pizza eating now that we have a GF eater in the house!"
5.0,Excellent Sweet Taste,"This is NOT a hot (hot) sauce that is cruddy on flavor for the sake of heat.  This is a hot (hot) sweet BBQ sauce. I love adding this to anything with BBQ.  From a heat standpoint, I am a ""huge"" fan of Tabasco. I can't eat pasta, salsa, bloody marys, etc... without it.  This is a lot hotter than Tabasco, but a lot sweeter. I now keep Tabasco and Bone Suckin Sauce-Habanero on hand and I am a very happy dude."
5.0,Unique savory flavor,I've tried all the vegetarian Taste of Thai boxed noodle products and all the vegetarian Annie Chun noodle bowls. This is by far the best and one of the few in which the sauce combines with the noodles to create a unique flavor. It's deeply savory (umami) and unlike most anything I've tasted as a vegetarian. I could eat these every day.
1.0,Bread Mix,"Not a good bread mix. No flavor, no raisins and definitely nooooooo.......hazelnuts that i could find."
5.0,Dog loves it!!,"Great training aid. Very easy to use.  My puppy will follow this Lickety Stik anywhere!  After a while, just shaking the container gets her running to me."
5.0,Great Coffee,I purchased this coffee as a gift for my mother and it arrived well before the estimated delivery date. I was told the coffee was definitely fresh which can sometimes be a challenge when trying to buy Jaimaican Blue Mountain coffee. It was just as good as the Blue Mountain coffee that I had brought back from Jamaica quite a few years ago. Great coffee from and would recommend purchasing from this reseller if looking to purchase Jamaican Blue Mountain coffee.
1.0,I will not take a chance with my dogs health,"My dogs love the taste of it. my worry is the next day one of them vomit the entire food he just ate plus the one from the previous day. I have to said I did not gradually change to this food, so maybe that is the reason. but I notice lots of urine more than normal. I just don't feel comfortable feeding this food to my dogs."
1.0,too much pepper!,"This is just awful soup with so much black pepper, I nearly choked on it.  It had a burnt taste.  Very poor quality control on this item.  I was shocked because this brand's chicken broth is very good."
1.0,Open bag and stale chips,"I ordered 3 bags, because they came as a pack. When the box arrived 1 of them was open (I assume because they shipped it via air and the pressure made it explode) and it had spilled all over the box so I had to throw those away. The 2nd bag I opened was stale, so I couldn't use those either. I wasted my money on this purchase unfortunately."
5.0,LOVE THIS COMPANY,"I've puchased several items from this company and have been pleased with all of them.  Expensive, yes.  but I give them out as ""party favors"" for dogs that have boarded with me.  We Board Labs."
5.0,Might be the best chips I've ever had,"These are REALLY terrific, crunchy and flavorful with no artificial taste.  Not only might the be the best chips I've ever eaten, I'm wondering if they're the best FOOD I've ever eaten.  If Amazon would start carrying my beloved Apple Beer I could quit going to the grocery store entirely."
5.0,"Not bitter, just like cola","After discovering the San Pellegrino product line, I did a search and happened upon this particular product. After reading some of the reviews, I was intrigued and just had to try it. Now, having tried it, I don't understand the reviews at all. Perhaps it's just an example of how very different people's taste buds are. But this product, to me, is not the least bit bitter. It is quite sugary (sugar is the second ingredient listed, next to water). It does not taste at all lemony or like orange. To me, it tastes very similar to China Cola, which is primarily vanilla, clove, and licorice. China Cola, tastes very similar to Coke. The only real plus to this product is that it is caffeine free... but... so is China Cola (which is expensive, but cheaper than this product), and caffeine free Coke. It does have a little bit of an aftertaste which tastes like fermented grapes... a little like a wine cooler, and this aftertaste goes away very quickly. Not bad. It is good. But nothing special. If they bottled it state side, and therefore would be much cheaper, I would buy more often. But, all in all... it's a good drink.. ok, not bitter,... very sugary though."
5.0,Senseo Paris French Vanilla Bistro Coffee Pods,Senseo Paris French Vanilla Coffee pods are easy to use and easy to clean up. The pods brew a very flavorful cup of coffee. French Vanilla is one of my favorites.
5.0,a hoilistic health coach,"My vanilla bean plant is awesome. It came to me in perfect condition, very healthy. Do you know that this is an orchid?  It grows in soil, unlike orchids and it is the only orchid that produces a product other than flowers. I have recommended others to purchase one of these plants!"
5.0,DON'T BUY THIS COFFEE!,It's more expensive than most other coffees.  Once you try it you won't be able to go back.  It's that good.
5.0,My Secret to Surving Winter!,"I live in Atlanta and while most don't think of the winter here as harsh, I was born over 500 miles south so its practically the arctic to me. Since moving here I have used hot tea as a winter comfort. For years I drank  Twinings Irish Breakfast Tea, Tea Bags, 20-Count Boxes (Pack of 6)  which was strong and had lots of flavor but left a slight metallic aftertaste. I stumbled on  Twinings English Breakfast Tea, Tea Bags, 50-Count Boxes (Pack of 6)  and for awhile, this strong tea with less of a metallic aftertaste was my favorite. But my wife brought home this Vanilla Chai tea and I think I have found my all time favorite. It is a traditional back tea with vanilla and other spices that added together are out of this world. I perfer it to the herbal teas I have tried because it has that underlying true black tea taste. I drink it with half and half, it has so much flavor it doesn't need sweetening although traditional chai teas are served very sweet. Try this tea and see what you have been missing!"
1.0,BEWARE - AMAZON LIMITS THE TOTAL AMOUNT YOU CAN BUY,"The food is GREAT.  The cats have gotten completely addicted to it.  BUT....what Amazon doesn't bother to mention is that ""quantities are limited"".  I have been buying this food for my 3 cats for about 6 months.  It comprises roughly half their diet (or 3 cats/day).  I just went to re-order and was repeatedly told ""there's a problem"".  Long story, and 2 phone calls plus 2 emails later, I was told I have bought the LIFETIME MAXIMUM of this product.  I ordered it for almost twice the price via the marketplace, but I am furious with Amazon.  NOWHERE on this page do they tell you there's a limit.  So I'm here to tell you there is.  The food is great, but don't get used to buying it here."
5.0,Love the flavor,This is a naturally sweeter tea that doesn't require extra sugar.  The taste is wonderful with dessert or before bed (naturally caffeine-free).  Just love the taste of this tea.
5.0,Amazing Product,"I ordered these for a part of a bridal shower favor (with a mug, tea, and biscotti).  These were the perfect complement and everyone loved them! The Madhava Honey Sticks are a great value (definitely the lowest priced item of this type that I found), but they also are an all around great product!  The honey is delicious and pure tasting, no plastic taste that I have had happen with other honey sticks. I definitely recommend!!"
1.0,Melted chocolate,I received my first box and when I opened it the chocolate had been melted. It was no longer smooth and creamy as Lindt truffles usually are. The weather had been cold and I accepted the package directly from the post women so I assumed it had arrived that way. I called Amazon and they gave me a replacement box which arrived in 2 days. Unfortunately it had also been melted and at that point I just gave up. I have two boxes of yucky chocolate.  I'm assuming that they melted while they sat around at amazon or Lindt provided a sub par product.  Do not order these. Buy them somewhere where you can inspect them first.
1.0,Warning new taste now 7 grams of sugar!,"Watch out for the new ""better"" taste.  They added 5 more grams of sugar.  It's no longer a healthy cereal."
5.0,Awesome Gluten-Free Pasta Brand,"All of Tinkyada's pasta is pretty wonderful.  I can't tell you how many Gluten-free pasta brands I have tried and at best they have been gross!  Finally, I found Tinkyada and I have never been disappointed.  I think this is my absolute favorite Tinkyada type (the Fusilli), but I also love the fettucini, the lasagna noodles, the elbows and shells."
5.0,"Oh Good, Another Shipment Arrived Today","This is my third order from Amazon for this product. When I decided to go wheat free a few months ago I knew I had to come up with an acceptable pancake mix because I LOVE pancakes. Since I'd used Bisquick for many years my first experiment was naturally to go with their gluten-free product. It was okay but nothing to brag about. I still have a partial box left over that I use sometimes as a coating for fish or chicken.  So I got to looking some more and kept coming across reviews for Pamela's Baking & Pancake Mix. There were a lot of positive reviews so I gave it a shot and have been very satisfied. Blueberry pancakes almost every morning. No kidding! I use milk instead of water (water and pancakes just don't seem right together to me) and add lots of blueberries and a couple tablespoons of chia seed. For the oil I use coconut oil. My wife made some chocolate chip cookies with it and they were pretty excellent too. Now that the weather is getting cooler, we'll be experimenting more.  I've recommended this mix to several family members and others and they are on board with it. Most of them are not on gluten-free diets but agree that it's a healthy alternative to wheat-based products. My wife and I and our two adult children are also not gluten intolerant.  The only negative I have about this product is the packaging. The three bags may be shipped in frustration-free packaging but the packages themselves are not frustration-free. I usually give up trying to pinch the seals together and just fold the top over. But still, this is five-star in my book. I did find this mix at a local grocery store but by ordering it though Amazon I saved about ten dollars for three bags."
5.0,forget the milk. Try honey!,"Tastes dry and dense with milk, so I experimented and found that if you eat it in a bowl with some honey (however amount depending on your preference), it's delicious!- the healthiest ""granola"" ever!!  makes for an absolutely wholesome, DELICIOUS snack.  I think the one with almonds is best!"
5.0,Love it!,"Love the Torani coconut syrup.  I use it in coffee drinks.  Some coffee, ice, milk, chocolate, and syrup.  No sugar needed.  Enough sweetness comes with the syrup.  Perfect!"
5.0,Best matcha quality and price,"I previously tried other matcha products and was generally satisfied with the quality but not the price.  I decided to give Pure Matcha green and rooibos a try because the price seemed to be very competitive.  The quality of Pure Matcha's products surpasses that of all others I have tried- stays fresh, has a consistent texture and tastes great.  Both the quality and price are better than others that I have purchased for the same quantity.  I highly recommend Pure Matcha and will continue to purchase."
1.0,Not very good panforte,"Glucose syrup and sulphur dioxide were not ingredients at the time of the crusades.  This might technically be called panforte, but it does not taste good - flavors and spices are lame.  Probably carelessly industry-produced.  I will not be purchasing this again.  Is it even really Italian?  If you've ever eaten it in Italy, panforte is delicious, but this stuff does not even come close."
1.0,This is not gluten free.,Why is this in the Gluten Free store? Read the ingredients.  It contains wheat.  It might be a great product but it should not be in this listing. Please remove it and the other Helper products.  They all seem to contain wheat.  If you don't have celiac disease you can disreguard this complaint.
5.0,Crawford Garibaldi Biscuits,I was very satisfied with the Crawford Garibaldi Biscuits. They taste better than the Sunshine fruit buscuits that are no longer manufactured in the United States.
1.0,NO REAL PRODUCT DESCRIPTION,BUYING THIS ITEM WITH NO PRODUCT DESCRIPTION IS LIKE SIGNING A BLANK CHECK. ONLY A MORON WOULD DO THAT
5.0,Just My Kind of Coffee,"Coffee Masters Hazelnut coffee used to be carried in a local coffee/pastry shop, which is where I fell in love with it.  Then they went out of business and I tried for so long to locate it elsewhere, finally finding it at Amazon.  It is a mild coffee with a lovely flavor and aroma.  I used to mix it half and half with regular coffee, but now drink it 100% by itself 100% of the time.  Got on the auto ship plan and couldn't be happier."
5.0,The Best Stuff!,I just want to comment-I have been buying this waffle mix since my husband tasted it at a free hotel breakfastseveral years ago. Amazon is the only place I could find it and such a great price! It is our favorite!
1.0,Causes migraines and doesnt work,"So yeah, it kept me awake..... Only to give me a huge migraine. Thanks five hour energy... Everyday? How about never... I'm in terrible pain from a QUARTER OF A BOTTLE"
1.0,Nothing Like I Remember,I love vanilla milk and can't find the mix around where I live so I ordered it. I read somewhere that it is only made in New Mexico now and sure enough the writing on the package was all written in Spanish. That may or may not have anything to do with why I didn't like it.  I think that this product tasted like vanilla slimfast shakes. I cannot stand slimfast so I was so disappointed. My daughter loves this mix though so it won't go to waste im sure.
5.0,I love this product,We love these marshmallows becuase they have no pork products in them. I don't like the fat free brand though.
5.0,Good Candy,Used this as a part of my sister in laws 'candy bar' at her bridal shower and these were very popular. They tasted great and were a great price for the quantity received.
5.0,kraft tangy italian spaghetti dinner,"I think the kraft spaghetti is great, my kids had never had it and they also liked it. It was a great price with free shipping we will be ordering it again!! thank You, Julie Silva"
1.0,"Amaranth, the useless grain.","It seems I have been dupt! Amaranth does not pop like popcorn,cook up like oatmeal ot make a nice side dish like Quinoa.  I have looked and looked but I cannot find anything to do with it.  Gnosses"
5.0,so good,I normally prefer Starbucks pumpkin lattes to Dunkin donuts' but these kcups are amazing!  Won't have to make my daily Starbucks visit!
5.0,Yummy!,"If you want great granola, look no further.  I live in Utah and none of the stores carry it so I have to mail order my granola to get something good!"
5.0,Great New Favours!,"I was surprised when the box arrived, I didn't know there would be so many new and exciting favours. The Sweet potato was really good, as was the Thai Style, the Jalape&ntilde;o packets were OK."
1.0,Clever Way to Hide MSG,"dried autolyzed yeast extract = MSG  If you want to find out if there is processed free glutamic acid (MSG) in a product, you must ask the manufacturer for information about ""free glutamic acid.""  Don't ask about ""MSG.""  Manufacturers find it convenient, when speaking to consumers, to tell them that there is no ""MSG"" in their product, meaning that there is no ingredient called ""monosodium glutamate.""  Even if a manufacturer tells you there is no MSG in a product, there may be autolyzed yeast, hydrolyzed pea protein, carrageenan, sodium caseinate, enzymes, and a whole slew of other ingredients that contain or create processed free glutamic acid (MSG) during manufacture.  If you are told that all of the MSG in a product is ""naturally occurring,"" thank the manufacturer for that meaningless information, but explain that all processed free glutamic acid (MSG) is referred to as ""natural"" by the FDA -- so ""natural"" tells you nothing.  In fact, as the word ""natural"" is defined by the FDA, the food ingredient ""monosodium glutamate"" is ""natural.""  It is the amount of processed free glutamic acid in the product that will determine whether or not you might suffer an MSG reaction. (Everyone has a different tolerance for MSG.) If the manufacturer claims not to know whether or not there is processed free glutamic acid (MSG) in his or her product, ask that the product be analyzed for free amino acids, including free glutamic acid. There are tests for measuring free glutamic acid. The AOAC Official Methods of Analysis (1984) gives one method. There are others. The cost of testing should be no more than $150.  We have been advised by the FDA that if any such misbranded products are brought to their attention, they will act to correct the situation. To report misbranded products to the FDA, please call the FDA at 888-723-3366 between 10 a.m. and 4 p.m., eastern time - and keep a record of your call."
5.0,Great taste,It is hard to find this product in the store and when I do it is very expensive. This product is exactly the brand I buy but at a much better price.
1.0,do NOT buy this! NEVER NEVER NEVER,"My gf bought this for me not knowing what's in the basket.  First of all, instead of that frog you see in the picture, a cheap one dollar store stuffed animal came.  And, snacks they put in the basket would cost you no more than $10, even if you buy them at overpriced convenience stores.  They put some cheap looking imitation snacks that looked like Doritos, and they were from ""golden flakes"", a brand that i've never seen or heard.  WORST OF ALL, I found a live COCKROACH inside the shipping box that contained this gift!!!  It was huge.  Seriously, I was going to take a picture to share customer image on amazon page, but it was just too gross.  I feel so bad for my gf who was such a sucker to buy this crap."
1.0,Horrible Product and Company,I ordered this product for our vacation home in Colorado. We arrived in Colorado December 16th and this coffee maker stoped working January 3rd. It is now January 13th and I have yet to talk to someone from the company after being put on hold for over 40 minutes 4 different times. I love the concept of the K-Cup but they need to fix the water pump on this machine and fix the way they handle customer service and returns.
1.0,Got a disease and died,We don't like these Hawaiian umbrellas. We have had 3 and 2 (including this one) have caught some sticky fungus and died. We will not buy another.
5.0,A healthy and refreshing drink,"This drink packs a taste wallop, which continues some time after you have swallowed the last drop. Furthermore, there is no unpleasant aftertaste, what you feel at the beginning is what you taste at the end. The taste is also a good one, the apple, grape, acerola and cherry juices in combination with the carbonated water really activates the taste buds. I also found it refreshing with no sugar or caffeine buzz arriving a few minutes after I consumed it. A healthy drink, I will continue to drink it in the future."
1.0,American Kennel Club Chicken Poppers,"One would assume that American kennel club chicken poppers would be manufatured in the United States, however these are not made in the usa. Had to return the product."
